------------------------------------------------------------
 Model:        tpxo9.v1
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  mm  mf  m4  mn4 ms4 2n2 
 s1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
    36.1889  -75.9000     10.12.1994 18:03:00     0.551    10.076
    36.1889  -75.9000     10.12.1994 18:03:10     0.551    10.076
    36.1889  -75.9000     10.12.1994 18:03:20     0.551    10.076
    36.1889  -75.9000     10.12.1994 18:03:30     0.552    10.076
    36.1889  -75.9000     10.12.1994 18:03:40     0.552    10.076
    36.1889  -75.9000     10.12.1994 18:03:50     0.552    10.076
    36.1889  -75.9000     10.12.1994 18:04:00     0.552    10.076
    36.1889  -75.9000     10.12.1994 18:04:10     0.552    10.076
    36.1889  -75.9000     10.12.1994 18:04:20     0.552    10.076
    36.1889  -75.9000     10.12.1994 18:04:30     0.553    10.076
    36.1889  -75.9000     10.12.1994 18:04:40     0.553    10.076
    36.1889  -75.9000     10.12.1994 18:04:50     0.553    10.076
    36.1889  -75.9000     10.12.1994 18:05:00     0.553    10.076
    36.1889  -75.9000     10.12.1994 18:05:10     0.553    10.076
    36.1889  -75.9000     10.12.1994 18:05:20     0.553    10.076
    36.1889  -75.9000     10.12.1994 18:05:30     0.554    10.076
    36.1889  -75.9000     10.12.1994 18:05:40     0.554    10.076
    36.1889  -75.9000     10.12.1994 18:05:50     0.554    10.076
    36.1889  -75.9000     10.12.1994 18:06:00     0.554    10.076
    36.1889  -75.9000     10.12.1994 18:06:10     0.554    10.076
    36.1889  -75.9000     10.12.1994 18:06:20     0.554    10.076
    36.1889  -75.9000     10.12.1994 18:06:30     0.555    10.076
    36.1889  -75.9000     10.12.1994 18:06:40     0.555    10.076
    36.1889  -75.9000     10.12.1994 18:06:50     0.555    10.076
    36.1889  -75.9000     10.12.1994 18:07:00     0.555    10.076
    36.1889  -75.9000     10.12.1994 18:07:10     0.555    10.076
    36.1889  -75.9000     10.12.1994 18:07:20     0.555    10.076
